01210;FERNEY VOLTAIRE;;;FERNEY VOLTAIRE;
01210;ORNEX;;;ORNEX;
01210;VERSONNEX;;;VERSONNEX;
01220;DIVONNE LES BAINS;;;DIVONNE LES BAINS;
01220;GRILLY;;;GRILLY;
01220;SAUVERNY;;;SAUVERNY;
01230;ARANDAS;;;ARANDAS;
01230;ARGIS;;;ARGIS;
01230;CHALEY;;;CHALEY;
01230;CLEYZIEU;;;CLEYZIEU;
01230;CONAND;;;CONAND;
01230;EVOSGES;;;EVOSGES;
01230;NIVOLLET MONTGRIFFON;;;NIVOLLET MONTGRIFFON;
01230;ONCIEU;;;ONCIEU;
01230;ST RAMBERT EN BUGEY;;;ST RAMBERT EN BUGEY;
01230;TENAY;;;TENAY;
01230;TORCIEU;;;TORCIEU;
01240;CERTINES;;;CERTINES;
01240;LA CHAPELLE DU CHATELARD;;;LA CHAPELLE DU CHATELARD;
01240;DOMPIERRE SUR VEYLE;;;DOMPIERRE SUR VEYLE;
01240;LENT;;;LENT;
01240;MARLIEUX;;;MARLIEUX;
01240;ST ANDRE LE BOUCHOUX;;;ST ANDRE LE BOUCHOUX;
01240;ST GERMAIN SUR RENON;;;ST GERMAIN SUR RENON;
01240;ST PAUL DE VARAX;;;ST PAUL DE VARAX;
01250;CEYZERIAT;;;CEYZERIAT;
01250;CHAVANNES SUR SURAN;;;NIVIGNE ET SURAN;CHAVANNES SUR SURAN
01250;GERMAGNAT;;;NIVIGNE ET SURAN;GERMAGNAT
01250;CIZE;;;CIZE;
01250;CORVEISSIAT;;;CORVEISSIAT;
01250;DROM;;;DROM;
01250;GRAND CORENT;;;GRAND CORENT;
01250;HAUTECOURT ROMANECHE;;;HAUTECOURT ROMANECHE;
01250;ROMANECHE;;;HAUTECOURT ROMANECHE;ROMANECHE
01250;JASSERON;;;JASSERON;
01250;JOURNANS;;;JOURNANS;
01250;BOHAS MEYRIAT RIGNAT;;;BOHAS MEYRIAT RIGNAT;
01250;BOHAS;;;BOHAS MEYRIAT RIGNAT;BOHAS
01250;RIGNAT;;;BOHAS MEYRIAT RIGNAT;RIGNAT
01250;MONTAGNAT;;;MONTAGNAT;
01250;POUILLAT;;;POUILLAT;
01250;RAMASSE;;;RAMASSE;
01250;REVONNAS;;;REVONNAS;
01250;ST JUST;;;ST JUST;
01250;SIMANDRE SUR SURAN;;;SIMANDRE SUR SURAN;
01250;TOSSIAT;;;TOSSIAT;
01250;VILLEREVERSURE;;;VILLEREVERSURE;
01260;BELMONT LUTHEZIEU;;;VALROMEY SUR SERAN;BELMONT LUTHEZIEU
01260;CHARANCIN;;;VALROMEY SUR SERAN;CHARANCIN
01260;FITIGNIEU;;;VALROMEY SUR SERAN;FITIGNIEU
01260;LOMPNIEU;;;VALROMEY SUR SERAN;LOMPNIEU
01260;LUTHEZIEU;;;VALROMEY SUR SERAN;LUTHEZIEU
01260;SUTRIEU;;;VALROMEY SUR SERAN;SUTRIEU
01260;VIEU;;;VALROMEY SUR SERAN;VIEU
01260;CHAMPAGNE EN VALROMEY;;;CHAMPAGNE EN VALROMEY;
01260;LILIGNOD;;;CHAMPAGNE EN VALROMEY;LILIGNOD
01260;PASSIN;;;CHAMPAGNE EN VALROMEY;PASSIN
01260;HOTONNES;;;HAUT VALROMEY;HOTONNES
01260;LE GRAND ABERGEMENT;;;HAUT VALROMEY;LE GRAND ABERGEMENT
01260;LE PETIT ABERGEMENT;;;HAUT VALROMEY;LE PETIT ABERGEMENT
01260;SONGIEU;;;HAUT VALROMEY;SONGIEU
01260;RUFFIEU;;;RUFFIEU;
01260;BRENAZ;;;ARVIERE EN VALROMEY;BRENAZ
01260;CHAVORNAY;;;ARVIERE EN VALROMEY;CHAVORNAY
01260;LOCHIEU;;;ARVIERE EN VALROMEY;LOCHIEU
01260;VIRIEU LE PETIT;;;ARVIERE EN VALROMEY;VIRIEU LE PETIT
01270;BEAUPONT;;;BEAUPONT;
01270;COLIGNY;;;COLIGNY;
01270;DOMSURE;;;DOMSURE;
01270;PIRAJOUX;;;PIRAJOUX;
01270;SALAVRE;;;SALAVRE;
01270;VERJON;;;VERJON;
01270;VILLEMOTIER;;;VILLEMOTIER;
01280;PREVESSIN MOENS;;;PREVESSIN MOENS;
01280;MOENS;;;PREVESSIN MOENS;MOENS
01290;BEY;;;BEY;
01290;BIZIAT;;;BIZIAT;
01290;CORMORANCHE SUR SAONE;;;CORMORANCHE SUR SAONE;
